"Feature Name","ID","Class","County","State","Latitude","Longitude","Ele(ft)","Map","BGN Date","Entry Date"
Phillips County,198163,Civil,Phillips,CO,403538N,1022127W,3793,Holyoke,,01-FEB-1993
Pikes Peak Division,1935546,Civil,El Paso,CO,385204N,1045900W,8963,Manitou Springs,,26-SEP-2001
Pitkin County,198164,Civil,Pitkin,CO,391302N,1065500W,8189,Highland Peak,,01-FEB-1993
Platteville Division,1935547,Civil,Weld,CO,401219N,1044456W,4951,Milton Reservoir,,26-SEP-2001
Pleasant View Division,1935548,Civil,Montezuma,CO,373053N,1085132W,6637,Pleasant View,,26-SEP-2001
Pritchett Division,1935549,Civil,Baca,CO,372001N,1025618W,4924,Lone Rock,,26-SEP-2001
Prowers County,198165,Civil,Prowers,CO,375719N,1022336W,3688,North Plum Creek NW,,01-FEB-1993
Pueblo County,198166,Civil,Pueblo,CO,381024N,1043046W,4859,Southeast Pueblo,,01-FEB-1993
Pueblo Division,1935550,Civil,Pueblo,CO,381204N,1044743W,5203,Beulah NE,,26-SEP-2001
Pueblo West Division,1935551,Civil,Pueblo,CO,382427N,1044628W,5371,Stone City,,26-SEP-2001
Rangely Division,1935553,Civil,Rio Blanco,CO,395819N,1084401W,6325,Philadelphia Creek,,26-SEP-2001
Raymer Division,1935554,Civil,Weld,CO,404401N,1035256W,4829,Raymer NW,,26-SEP-2001
Rico Division,1935555,Civil,Dolores,CO,374537N,1082152W,8399,Groundhog Reservoir,,26-SEP-2001
Rifle Division,1935556,Civil,Garfield,CO,393647N,1074751W,6030,Rifle,,26-SEP-2001
Rio Blanco County,198167,Civil,Rio Blanco,CO,395847N,1081302W,6450,Greasewood Gulch,,01-FEB-1993
Rio Grande County,198168,Civil,Rio Grande,CO,373457N,1062300W,9229,Horseshoe Mountain,,01-FEB-1993
Rocky Ford Division,1935557,Civil,Otero,CO,380217N,1034335W,4219,Rocky Ford,,26-SEP-2001
Routt County,198169,Civil,Routt,CO,402906N,1065928W,6526,Cow Creek,,01-FEB-1993
