"MunicipalityName","FIPS_ID","FIPS_ID_Flag","GNIS_ID","GNIS_ID_Flag","DOLA_LG_ID","DOLA_LG_ID_Flag","OWF_ID","OWF_ID_Full","OWF_ID_Flag","PWS_ID","PWS_ID_Flag","DWR_WaterDistrict_ID","DWR_WaterDistrict_ID_Flag","County_CSV","NumCounty","IBCC_Basin_CSV","Num_IBCC_Basin","Latitude","Longitude","Lat_Long_Flag","Website","Website_Flag","Comment"
Glendale,30340,G,2410598,G,03043,G,Glendale,Glendale,G,CO0103055,G,,x,Arapahoe,1,Metro,1,39.703597,-104.935205,,http://www.glendale.co.us/,G,
Glenwood Springs,30780,G,2410605,G,23008,G,GlenwoodSpgs,GlenwoodSprings,G,CO0123314,G,,x,Garfield,1,Colorado,1,39.545367,-107.334394,,http://www.cogs.us/,G,
Golden,30835,G,2410611,G,30035,G,Golden,Golden,G,CO0130040,G,,x,Jefferson,1,Metro,1,39.740617,-105.211681,,http://www.cityofgolden.net/,G,
Granada,31550,G,2412698,G,50007,G,Granada,Granada,G,CO0150300,G,,x,Prowers,1,Arkansas,1,38.063193,-102.312236,,"https://en.wikipedia.org/wiki/Granada,_Colorado",g,New BNDSS ID; did not have an ID in original BNDSS
Granby,31605,G,2412699,G,25008,G,Granby,Granby,G,CO0125321,G,,x,Grand,1,Colorado,1,40.064581,-105.920149,,http://www.townofgranby.com/,G,
Grand Junction,31660,G,2410631,G,39020,G,GrandJunction,GrandJunction,G,CO0139321,G,,x,Mesa,1,"Colorado, Gunnison",2,39.087831,-108.567497,,http://gjcity.org/,G,
Grand Lake,31715,G,2412701,G,25014,G,GrandLake,GrandLake,G,CO0125322,G,,x,Grand,1,Colorado,1,40.250330,-105.823026,,http://www.townofgrandlake.com/,G,
Greeley,32155,G,2410654,G,62022,G,Greeley,Greeley,G,CO0162321,G,,x,Weld,1,South Platte,1,40.414917,-104.770666,,http://www.greeleygov.com/,G,
Green Mountain Falls,32650,G,2412708,G,64070,G,GreenMtnFalls,GreenMountainFalls,G,CO0121400,G,,x,"El Paso, Teller",2,Arkansas,1,38.934608,-105.023309,,https://gmfco.elpasoco.com/,G,
Greenwood Village,33035,G,2410661,G,03051,G,GreenwoodVlg,GreenwoodVillage,G,CO0130323,G,,x,Arapahoe,1,Metro,1,39.615136,-104.913033,,http://www.greenwoodvillage.com/,G,
Grover,33310,G,2412712,G,62023,G,Grover,Grover,G,CO0162322,G,,x,Weld,1,South Platte,1,40.869104,-104.225941,,"https://en.wikipedia.org/wiki/Grover,_Colorado",g,New BNDSS ID; did not have an ID in original BNDSS
Gunnison,33640,G,2410674,G,26008,G,Gunnison,Gunnison,G,CO0126325,G,,x,Gunnison,1,Gunnison,1,38.548978,-106.924639,,http://www.cityofgunnison-co.gov/,G,
Gypsum,33695,G,2412716,G,19020,G,Gypsum,Gypsum,G,CO0119329,G,,x,Eagle,1,Colorado,1,39.628462,-106.933646,,http://www.townofgypsum.com/,G,
Hartman,34520,G,2412730,G,50008,G,Hartman,Hartman,G,CO0150500,G,,x,Prowers,1,Arkansas,1,38.121110,-102.221337,,"https://en.wikipedia.org/wiki/Hartman,_Colorado",g,New BNDSS ID; did not have an ID in original BNDSS
Haswell,34740,G,2412734,G,31003,G,Haswell,Haswell,G,CO0131600,G,,x,Kiowa,1,Arkansas,1,38.452507,-103.164839,,"https://en.wikipedia.org/wiki/Haswell,_Colorado",g,New BNDSS ID; did not have an ID in original BNDSS
Haxtun,34960,G,2412738,G,48004,G,Haxtun,Haxtun,G,CO0148001,G,,x,Phillips,1,South Platte,1,40.641876,-102.629715,,"https://en.wikipedia.org/wiki/Haxtun,_Colorado",g,New BNDSS ID; did not have an ID in original BNDSS
Hayden,35070,G,2412740,G,54005,G,Hayden,Hayden,G,CO0154333,G,,x,Routt,1,Yampa,1,40.484828,-107.238474,,http://www.townofhayden.org/,G,
Hillrose,36610,G,2412751,G,44007,G,Hillrose,Hillrose,G,CO0144010,G,,x,Morgan,1,South Platte,1,40.324654,-103.522175,,http://www.hillrosecolorado.org/,G,New BNDSS ID; did not have an ID in original BNDSS
Holly,37215,G,2412764,G,50011,G,Holly,Holly,G,CO0150600,G,,x,Prowers,1,Arkansas,1,38.056555,-102.124297,,http://www.townofholly.com/,G,New BNDSS ID; did not have an ID in original BNDSS
Holyoke,37270,G,2410781,G,48005,G,Holyoke,Holyoke,G,CO0148005,G,,x,Phillips,1,South Platte,1,40.583414,-102.299812,,http://www.cityofholyoke-co.gov/,G,
Hooper,37380,G,2412766,G,02005,G,Hooper,Hooper,G,,M,,x,Alamosa,1,Rio Grande,1,37.745925,-105.877379,,"https://en.wikipedia.org/wiki/Hooper,_Colorado",g,New BNDSS ID; did not have an ID in original BNDSS
Hot Sulphur Springs,37600,G,2412770,G,25015,G,HotSulphurSpgs,HotSulphurSprings,G,CO0125352,G,,x,Grand,1,Colorado,1,40.074869,-106.103178,,http://www.hotsulphurspringsco.com/,G,
Hotchkiss,37545,G,2412771,G,15020,G,Hotchkiss,Hotchkiss,G,CO0115352,G,,x,Delta,1,Gunnison,1,38.798951,-107.713382,,http://www.townofhotchkiss.com/,G,
Hudson,37820,G,2412776,G,62029,G,Hudson,Hudson,G,CO0162359,G,,x,Weld,1,South Platte,1,40.089828,-104.621449,,https://hudsoncolorado.org/,G,
Hugo,37875,G,2412778,G,37006,G,Hugo,Hugo,G,CO0137010,G,,x,Lincoln,1,Arkansas,1,39.136169,-103.472692,,http://www.cityofhugoco.org/,G,
Idaho Springs,38370,G,2410092,G,10008,G,IdahoSpgs,IdahoSprings,G,CO0110020,G,,x,Clear Creek,1,South Platte,1,39.744445,-105.500109,,http://www.idahospringsco.com/,G,
Ignacio,38535,G,2412787,G,34015,G,Ignacio,Ignacio,G,CO0134500,G,,x,La Plata,1,Southwest,1,37.118034,-107.637386,,http://www.townofignacio.com/,G,
Iliff,38590,G,2412788,G,38007,G,Iliff,Iliff,G,CO0138015,G,,x,Logan,1,South Platte,1,40.759083,-103.066182,,"https://en.wikipedia.org/wiki/Iliff,_Colorado",g,New BNDSS ID; did not have an ID in original BNDSS
Jamestown,39195,G,2412800,G,07018,G,Jamestown,Jamestown,G,CO0107401,G,,x,Boulder,1,South Platte,1,40.118344,-105.391630,,http://www.jamestownco.org/,G,
